MonitoringLocationIdentifier,CharacteristicName,ResultMeasure.MeasureUnitCode,count,begin_datetime,end_datetime,max,station_nm,agency_cd,site_no,dec_lat_va,dec_lon_va,hucCd,OrganizationIdentifier,OrganizationFormalName,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ProviderName,begin_date,end_date,date_range_interval,date_range_yrs
21FLHILL_WQX-151,Chlorophyll,NA,112,NA,NA,NA,Turkey Creek at Durant Road,21FLHILL_WQX,21FLHILL_WQX-151,27.908461699,-82.189320821,03100204,21FLHILL_WQX,Environmental Protection Commission of Hillsborough County,Turkey Creek at Durant Road,River/Stream,Turkey Creek at Durant Road,03100204,NA,NA,NA,NA,27.908461699,-82.189320821,NA,NA,seconds,Interpolation-Photo,NAD83,NA,NA,NA,NA,NA,NA,US,12,057,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-05-16,2017-06-26,508464000,16.11225188227242
21FLHILL_WQX-111,Chlorophyll,NA,116,NA,NA,NA,Turkey Creek at SR 60 bridge,21FLHILL_WQX,21FLHILL_WQX-111,27.937890848000002,-82.193902555,03100204,21FLHILL_WQX,Environmental Protection Commission of Hillsborough County,Turkey Creek at SR 60 bridge,River/Stream,Turkey Creek at SR 60 bridge,03100204,NA,NA,NA,NA,27.937890848000002,-82.193902555,NA,NA,seconds,Interpolation-Photo,NAD83,NA,NA,NA,NA,NA,NA,US,12,057,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-05-16,2017-05-23,505526400,16.019164955509925
21FLHILL_WQX-145,Chlorophyll,NA,154,NA,NA,NA,Trout Creek at SR581 east side of northbound span,21FLHILL_WQX,21FLHILL_WQX-145,28.134302836,-82.36162866800002,03100205,21FLHILL_WQX,Environmental Protection Commission of Hillsborough County,Trout Creek at SR581 east side of northbound span,River/Stream,Trout Creek at SR581 east side of northbound span,03100205,NA,NA,NA,NA,28.134302836,-82.36162866800002,NA,NA,seconds,Interpolation-Photo,NAD83,NA,NA,NA,NA,NA,NA,US,12,057,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-05-15,2017-05-17,505094400,16.005475701574266
21FLHILL_WQX-143,Chlorophyll,NA,82,NA,NA,NA,Blackwater Creek at SR 39 under RR bridge,21FLHILL_WQX,21FLHILL_WQX-143,28.139895545000005,-82.149738245,03100205,21FLHILL_WQX,Environmental Protection Commission of Hillsborough County,Blackwater Creek at SR 39 under RR bridge,River/Stream,Blackwater Creek at SR 39 under RR bridge,03100205,NA,NA,NA,NA,28.139895545000005,-82.149738245,NA,NA,seconds,Interpolation-Photo,NAD83,NA,NA,NA,NA,NA,NA,US,12,057,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-05-15,2017-03-22,500256000,15.85215605749487
21FLHILL_WQX-120,Chlorophyll,NA,162,NA,NA,NA,Cypress Creek at SR 581,21FLHILL_WQX,21FLHILL_WQX-120,28.088149887999993,-82.407648126,03100205,21FLHILL_WQX,Environmental Protection Commission of Hillsborough County,Cypress Creek at SR 581,River/Stream,Cypress Creek at SR 581,03100205,NA,NA,NA,NA,28.088149887999993,-82.407648126,NA,NA,seconds,Interpolation-Photo,NAD83,NA,NA,NA,NA,NA,NA,US,12,057,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-01-16,2016-09-21,494812800,15.679671457905544
21FLHILL_WQX-142,Chlorophyll,NA,28,NA,NA,NA,Sweetwater Creek at Anderson Road upstream side,21FLHILL_WQX,21FLHILL_WQX-142,28.02681318,-82.538029707,03100206,21FLHILL_WQX,Environmental Protection Commission of Hillsborough County,Sweetwater Creek at Anderson Road upstream side,River/Stream,Sweetwater Creek at Anderson Road upstream side,03100206,NA,NA,NA,NA,28.02681318,-82.538029707,NA,NA,seconds,Interpolation-Photo,NAD83,NA,NA,NA,NA,NA,NA,US,12,057,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-07-24,2017-03-06,492825600,15.616700889801505
21FLHILL_WQX-082,Chlorophyll,NA,62,NA,NA,NA,Middle Tampa Bay at J range marker south cut,21FLHILL_WQX,21FLHILL_WQX-082,27.751101000000002,-82.5718,03100206,21FLHILL_WQX,Environmental Protection Commission of Hillsborough County,Middle Tampa Bay at J range marker south cut,Estuary,NA,03100206,NA,NA,NA,NA,27.751101000000002,-82.5718,NA,NA,NA,GPS-Unspecified,UNKWN,NA,NA,NA,NA,NA,NA,US,12,103,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-12-18,2017-06-19,489196800,15.501711156741958
21FLHILL_WQX-028,Chlorophyll,NA,58,NA,NA,NA,Middle Tampa Bay Marker 6,21FLHILL_WQX,21FLHILL_WQX-028,27.708401,-82.6092,03100206,21FLHILL_WQX,Environmental Protection Commission of Hillsborough County,Middle Tampa Bay Marker 6,Estuary,old name Lower Tampa Bay Marker 6,03100206,NA,NA,NA,NA,27.708401,-82.6092,NA,NA,NA,GPS-Unspecified,UNKWN,NA,NA,NA,NA,NA,NA,US,12,103,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-12-18,2017-05-16,486259200,15.408624229979466
21FLHILL_WQX-025,Chlorophyll,NA,66,NA,NA,NA,Lower Tampa Bay east of N causeway bridge span,21FLHILL_WQX,21FLHILL_WQX-025,27.662701,-82.6679,03100206,21FLHILL_WQX,Environmental Protection Commission of Hillsborough County,Lower Tampa Bay east of N causeway bridge span,Estuary,NA,03100206,NA,NA,NA,NA,27.662701,-82.6679,NA,NA,NA,GPS-Unspecified,UNKWN,NA,NA,NA,NA,NA,NA,US,12,103,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2001-12-18,2017-03-21,481420800,15.25530458590007
21FLHILL_WQX-022,Chlorophyll,ug/l,292,NA,NA,20.4,Entrance to Bishops Harbor,21FLHILL_WQX,21FLHILL_WQX-022,27.608101,-82.571198,03100206,21FLHILL_WQX,Environmental Protection Commission of Hillsborough County,Entrance to Bishops Harbor,Estuary,NA,03100206,NA,NA,NA,NA,27.608101,-82.571198,NA,NA,NA,GPS-Unspecified,NAD83,NA,NA,NA,NA,NA,NA,US,12,081,NA,NA,NA,NA,NA,NA,NA,NA,STORET,2003-11-24,2017-06-19,428198400,13.568788501026695
