MonitoringLocationIdentifier,CharacteristicName,ResultMeasure.MeasureUnitCode,count,begin_datetime,end_datetime,max,station_nm,agency_cd,site_no,dec_lat_va,dec_lon_va,hucCd,OrganizationIdentifier,OrganizationFormalName,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ProviderName,begin_date,end_date,date_range_interval,date_range_yrs
USGS-15565447,Nitrogen,mg/l,216,2001-07-06T02:20:00Z,2019-06-19T00:10:00Z,0.705,YUKON R AT PILOT STATION AK,USGS-AK,USGS-15565447,61.9336866,-162.8829356,19090304,USGS-AK,USGS Alaska Water Science Center,YUKON R AT PILOT STATION AK,Stream,NA,19090304,318300,sq mi,NA,NA,61.9336866,-162.8829356,63360,1,seconds,Interpolated from MAP.,NAD83,20,feet,12,feet,Interpolated from topographic map.,NGVD29,US,2,270,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2001-07-06,2019-06-19,566524800,17.95208761122519
USGS-15015595,Nitrogen,NA,26,2003-08-27T02:00:00Z,2019-03-28T18:50:00Z,-Inf,UNUK R BL BLUE R NR WRANGELL AK,USGS-AK,USGS-15015595,56.2402062,-130.8819864,19010105,USGS-AK,USGS Alaska Water Science Center,UNUK R BL BLUE R NR WRANGELL AK,Stream,NA,19010105,745,sq mi,NA,NA,56.2402062,-130.8819864,63360,3,seconds,Interpolated from MAP.,NAD83,150,feet,50,feet,Interpolated from topographic map.,NGVD29,US,2,130,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2003-08-27,2019-03-28,491788800,15.58384668035592
USGS-15565447,Nitrogen,NA,6,2001-04-20T03:40:00Z,2016-04-05T22:10:00Z,-Inf,YUKON R AT PILOT STATION AK,USGS-AK,USGS-15565447,61.9336866,-162.8829356,19090304,USGS-AK,USGS Alaska Water Science Center,YUKON R AT PILOT STATION AK,Stream,NA,19090304,318300,sq mi,NA,NA,61.9336866,-162.8829356,63360,1,seconds,Interpolated from MAP.,NAD83,20,feet,12,feet,Interpolated from topographic map.,NGVD29,US,2,270,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2001-04-20,2016-04-05,472089600,14.959616700889802
USGS-15015595,Nitrogen,mg/l,8,2004-07-15T02:00:00Z,2019-05-09T21:00:00Z,0.045,UNUK R BL BLUE R NR WRANGELL AK,USGS-AK,USGS-15015595,56.2402062,-130.8819864,19010105,USGS-AK,USGS Alaska Water Science Center,UNUK R BL BLUE R NR WRANGELL AK,Stream,NA,19010105,745,sq mi,NA,NA,56.2402062,-130.8819864,63360,3,seconds,Interpolated from MAP.,NAD83,150,feet,50,feet,Interpolated from topographic map.,NGVD29,US,2,130,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2004-07-15,2019-05-09,467510400,14.8145106091718
USGS-02469762,Nitrogen,mg/l,248,2001-02-27T17:45:00Z,2019-07-02T15:30:00Z,0.605,TOMBIGBEE R BL COFFEEVILLE L&D NEAR COFFEEVILLE,USGS-AL,USGS-02469762,31.7571018,-88.1250095,03160201,USGS-AL,USGS Alabama Water Science Center,TOMBIGBEE R BL COFFEEVILLE L&D NEAR COFFEEVILLE,Stream,NA,03160201,18417,sq mi,18417,sq mi,31.7571018,-88.1250095,NA,1,seconds,Interpolated from MAP.,NAD83,0,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,1,023,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2001-02-27,2019-07-02,578793600,18.340862422997947
USGS-02429500,Nitrogen,mg/l,132,2001-02-26T20:30:00Z,2019-06-04T14:30:00Z,0.41100000000000003,ALABAMA RIVER AT CLAIBORNE AL,USGS-AL,USGS-02429500,31.5468275,-87.5124908,03150204,USGS-AL,USGS Alabama Water Science Center,ALABAMA RIVER AT CLAIBORNE AL,Stream,NA,03150204,21967,sq mi,NA,NA,31.5468275,-87.5124908,NA,NA,Unknown,Interpolated from MAP.,NAD83,0.4,feet,0.01,feet,Unknown.,NGVD29,US,1,099,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2001-02-26,2019-06-04,576460800,18.26694045174538
USGS-07263620,Nitrogen,mg/l,436,2001-01-23T15:50:00Z,2019-07-18T16:00:00Z,0.8400000000000001,"AR River@David D Terry L&D below Little Rock, AR",USGS-AR,USGS-07263620,34.6811111,-92.1513889,11110207,USGS-AR,USGS Arkansas Water Science Center,"AR River@David D Terry L&D below Little Rock, AR",Stream,NA,11110207,158429,sq mi,136188,sq mi,34.6811111,-92.1513889,NA,10,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,NA,NA,NA,NA,NA,NA,US,5,119,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2001-01-23,2019-07-18,583200000,18.480492813141684
USGS-09415000,Nitrogen,mg/l,140,2000-08-22T17:00:00Z,2019-07-09T19:30:00Z,4.55,"VIRGIN RV AT LITTLEFIELD, AZ",USGS-NV,USGS-09415000,36.8916437,-113.9244098,15010010,USGS-NV,USGS Nevada Water Science Center,"VIRGIN RV AT LITTLEFIELD, AZ",Stream,NA,15010010,5090,sq mi,NA,NA,36.8916437,-113.9244098,24000,1,seconds,Interpolated from MAP.,NAD83,1763.6799999999998,feet,1,feet,Level or other surveyed method.,NGVD29,US,4,015,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2000-08-22,2019-07-09,595728000,18.87748117727584
USGS-09522000,Nitrogen,mg/l,298,2000-11-28T16:45:00Z,2019-06-19T17:40:00Z,0.376,"COLORADO RIVER AT NIB, ABOVE MORELOS DAM, AZ",USGS-AZ,USGS-09522000,32.7186587,-114.7188444,15030107,USGS-AZ,USGS Arizona Water Science Center,"COLORADO RIVER AT NIB, ABOVE MORELOS DAM, AZ",Stream,NA,15030107,246700,sq mi,NA,NA,32.7186587,-114.7188444,24000,10,seconds,Interpolated from MAP.,NAD83,119.33,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,4,027,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2000-11-28,2019-06-19,585532800,18.55441478439425
USGS-09522000,Nitrogen,NA,64,2001-08-23T15:15:00Z,2019-02-26T16:10:00Z,-Inf,"COLORADO RIVER AT NIB, ABOVE MORELOS DAM, AZ",USGS-AZ,USGS-09522000,32.7186587,-114.7188444,15030107,USGS-AZ,USGS Arizona Water Science Center,"COLORADO RIVER AT NIB, ABOVE MORELOS DAM, AZ",Stream,NA,15030107,246700,sq mi,NA,NA,32.7186587,-114.7188444,24000,10,seconds,Interpolated from MAP.,NAD83,119.33,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,4,027,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,2001-08-23,2019-02-26,552614400,17.51129363449692
