agency_cd,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_acy_cd,dec_coord_datum_cd,alt_va,alt_acy_va,alt_datum_cd,huc_cd,data_type_cd,parm_cd,stat_cd,ts_id,loc_web_ds,medium_grp_cd,parm_grp_cd,srs_id,access_cd,begin_date,end_date,count_nu,date_range_interval,date_range_yrs,parameter_nm,parameter_units
USGS,614113150001400,NANCY LK CENTRAL BASIN NR WILLOW AK,LK,61.6864056,-150.0061215,U,NAD83,NA,NA,NA,19020505,qw,70953,NA,0,NA,wat,BIO,47076,0,1978-08-24,2004-08-06,5,1978-08-24 UTC--2004-08-06 UTC,25.952258726899387,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",ug/l
USGS,613215149522600,BIG LK S OF LONG IS NR WASILLA AK,LK,61.53695369,-149.876117,U,NAD83,NA,NA,NA,19020401,qw,32209,NA,0,NA,wat,BIO,47076,0,1983-01-28,2004-08-05,218,1983-01-28 UTC--2004-08-05 UTC,21.521902806297057,"Chlorophyll a, water, fluorometric method, corrected, micrograms per liter",ug/l
USGS,0242354750,"CAHABA VALLEY CREEK AT CROSS CR RD AT PELHAM, AL.",ST,33.31344546,-86.8063775,S,NAD83,NA,NA,NA,03150202,qw,70957,NA,0,NA,bio,BIO,47076,0,1999-06-17,2011-08-15,17,1999-06-17 UTC--2011-08-15 UTC,12.162731006160167,"Chlorophyll a, periphyton, chromatographic-fluorometric method, milligrams per square meter",mg/m2
USGS,07058700,NORFORK LK ON PIGEON CK NR MOUNTAIN HOME AR,LK,36.4020104,-92.3279363,T,NAD83,NA,NA,NA,11010006,qw,70954,NA,0,NA,wat,BIO,49890,0,1982-12-15,1995-05-18,37,1982-12-15 UTC--1995-05-18 UTC,12.424880219028067,"Chlorophyll b, phytoplankton, chromatographic-fluorometric method, micrograms per liter",ug/l
USGS,07075660,GREERS FERRY LK NR EDEN ISLE AR,LK,35.50341168,-92.0923725,T,NAD83,NA,NA,NA,11010014,qw,70954,NA,0,NA,wat,BIO,49890,0,1982-12-13,1995-05-17,36,1982-12-13 UTC--1995-05-17 UTC,12.427618069815193,"Chlorophyll b, phytoplankton, chromatographic-fluorometric method, micrograms per liter",ug/l
USGS,072632995,Lake Maumelle at Natural Steps,LK,34.86092316,-92.5021032,T,NAD83,NA,NA,NA,11110207,qw,70953,NA,0,NA,wat,BIO,47076,0,1989-05-26,2019-08-07,170,1989-05-26 UTC--2019-08-07 UTC,30.19952087611225,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",ug/l
USGS,07263922,Lil Base Lake near Jacksonville,LK,34.89731136,-92.162092,S,NAD83,NA,NA,NA,08020402,qw,70953,NA,0,NA,wat,BIO,47076,0,2003-07-03,2015-08-20,15,2003-07-03 UTC--2015-08-20 UTC,12.129876796714576,"Chlorophyll a, phytoplankton, chromatographic-fluorometric method, micrograms per liter",ug/l
USGS,07341295,"MILLWOOD LAKE NEAR SARATOGA,ARK.",LK,33.7390082,-93.9526884,T,NAD83,NA,NA,NA,11140109,qw,70954,NA,0,NA,wat,BIO,49890,0,1983-12-13,1995-05-23,29,1983-12-13 UTC--1995-05-23 UTC,11.444045174537989,"Chlorophyll b, phytoplankton, chromatographic-fluorometric method, micrograms per liter",ug/l
USGS,07048910,Beaver Lake at Hwy 412 bridge near Sonora,LK,36.17146545,-94.0204775,T,NAD83,NA,NA,NA,11010001,qw,70954,NA,0,NA,wat,BIO,49890,0,1984-05-21,1995-05-23,32,1984-05-21 UTC--1995-05-23 UTC,11.005475701574264,"Chlorophyll b, phytoplankton, chromatographic-fluorometric method, micrograms per liter",ug/l
USGS,07049050,"War Eagle Creek at War Eagle, AR",ST,36.26757447,-93.9432535,T,NAD83,1127,1.6,NAVD88,11010001,qw,70954,NA,0,NA,wat,BIO,49890,0,1983-01-26,1995-05-23,36,1983-01-26 UTC--1995-05-23 UTC,12.323921971252565,"Chlorophyll b, phytoplankton, chromatographic-fluorometric method, micrograms per liter",ug/l
USGS,07049230,BEAVER LK @ MONTE NE AR,LK,36.28229768,-94.07520169,T,NAD83,NA,NA,NA,11010001,qw,70954,NA,0,NA,wat,BIO,49890,0,1983-01-26,1995-05-23,36,1983-01-26 UTC--1995-05-23 UTC,12.323921971252565,"Chlorophyll b, phytoplankton, chromatographic-fluorometric method, micrograms per liter",ug/l
