agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime
USGS,05418600,2004-03-15,17:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,9,9,9,MM-00794A,00600,NA,9.5,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-03-15T17:00:00Z
USGS,05418600,2004-03-15,17:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,9,9,9,MM-00794A,00605,E,0.48,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-03-15T17:00:00Z
USGS,05418600,2004-03-15,17:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,9,9,9,MM-00794A,00608,E,0.03,n,CL037,R,0.04,LRL,NA,NA,NA,NUTC092F,20040405,NA,NA,2004-03-15T17:00:00Z
USGS,05418600,2004-03-15,17:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,9,9,9,MM-00794A,00613,NA,0.016,NA,CL041,R,0.008,LRL,NA,NA,NA,NUTC092F,20040405,NA,NA,2004-03-15T17:00:00Z
USGS,05418600,2004-03-15,17:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,9,9,9,MM-00794A,00618,NA,9.32,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-03-15T17:00:00Z
USGS,05418600,2004-03-15,17:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,9,9,9,MM-00794A,00631,NA,9.34,d,CL048,R,0.3,LRL,NA,NA,NA,NUTC097B,20040407,NA,NA,2004-03-15T17:00:00Z
USGS,05418600,2004-03-15,17:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,9,9,9,MM-00794A,49570,NA,0.163,NA,COMB7,R,0.022,MRL,NA,NA,NA,1263104092A,20040412,NA,NA,2004-03-15T17:00:00Z
USGS,05418600,2004-03-15,17:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,9,9,9,MM-00794A,62854,NA,9.33,d,CL063,R,0.15,MRL,NA,NA,NA,PDNP089A,20040330,NA,NA,2004-03-15T17:00:00Z
USGS,05418600,2004-03-15,17:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,9,9,9,MM-00794A,62855,NA,9.86,d,AKP01,R,0.15,MRL,NA,NA,NA,PTNP089A,20040330,NA,NA,2004-03-15T17:00:00Z
USGS,05418600,2004-03-15,17:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,9,9,9,MM-00794A,70953,NA,0.9,NA,FL008,R,0.1,MRL,NA,NA,NA,04T083CA,20040324,NA,NA,2004-03-15T17:00:00Z
USGS,05418600,2004-03-29,15:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,6,9,J,MM-00831A,00600,NA,12,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-03-29T15:00:00Z
USGS,05418600,2004-03-29,15:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,6,9,J,MM-00831A,00605,NA,1.2,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-03-29T15:00:00Z
USGS,05418600,2004-03-29,15:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,6,9,J,MM-00831A,00608,NA,0.05,NA,CL037,R,0.04,LRL,NA,NA,NA,NUTC099D,20040414,NA,NA,2004-03-29T15:00:00Z
USGS,05418600,2004-03-29,15:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,6,9,J,MM-00831A,00613,NA,0.029,NA,CL041,R,0.008,LRL,NA,NA,NA,NUTC099D,20040414,NA,NA,2004-03-29T15:00:00Z
USGS,05418600,2004-03-29,15:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,6,9,J,MM-00831A,00618,NA,11.2,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2004-03-29T15:00:00Z
USGS,05418600,2004-03-29,15:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,6,9,J,MM-00831A,00631,NA,11.2,d,CL048,R,0.3,LRL,NA,NA,NA,NUTC105A,20040415,NA,NA,2004-03-29T15:00:00Z
USGS,05418600,2004-03-29,15:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,6,9,J,MM-00831A,49570,NA,0.703,NA,COMB7,R,0.022,MRL,NA,NA,NA,1263104114A,20040421,NA,NA,2004-03-29T15:00:00Z
USGS,05418600,2004-03-29,15:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,6,9,J,MM-00831A,62854,NA,11,d,CL063,R,0.15,MRL,NA,NA,NA,PDNP103A,20040415,NA,NA,2004-03-29T15:00:00Z
USGS,05418600,2004-03-29,15:00,NA,NA,CST,K,USGS-WRD,WS,8591BBE99,NA,NA,NA,6,9,J,MM-00831A,62855,NA,12.5,d,AKP01,R,0.15,MRL,NA,NA,NA,PTNP097A,20040408,NA,NA,2004-03-29T15:00:00Z
